f_activity_classification_cardio_!=,f_activity_classification_mixed_!=,f_activity_classification_other_!=,f_activity_classification_strength_!=,f_pa_activity_duration_min_<,f_pa_activity_intensity_kcal_per_min_<,f_pa_activity_time_of_day_hour_sin_<,f_pa_activity_time_of_day_hour_cos_<,f_pa_time_since_prev_pa_event_hr_<,f_glucose_variability_lback_24h_<,f_lbgi_lback_24h_<,f_glucose_roc_lback_30min_<,f_glucose_start_<,f_iob_start_<,f_demographics_age_<,f_clinical_years_with_t1d_<,f_activity_classification_cardio_=,f_activity_classification_mixed_=,f_activity_classification_other_=,f_activity_classification_strength_=,f_pa_activity_duration_min_>=,f_pa_activity_intensity_kcal_per_min_>=,f_pa_activity_time_of_day_hour_sin_>=,f_pa_activity_time_of_day_hour_cos_>=,f_pa_time_since_prev_pa_event_hr_>=,f_glucose_variability_lback_24h_>=,f_lbgi_lback_24h_>=,f_glucose_roc_lback_30min_>=,f_glucose_start_>=,f_iob_start_>=,f_demographics_age_>=,f_clinical_years_with_t1d_>=,precision,recall,accuracy
,,,,,,,,,,,,69.93936,,,,,,,,,,,,,,,,,2.8718420542090755,,8.5,0.9312288613303269,1.0,0.9312288613303269
,,,,,,,,,,,-0.6993960000000001,87.92384817816128,,,,,,,,10.666666666666666,,,,,,,,69.93936,2.8718420542090755,,,0.9278466741826381,1.0,0.9278466741826381
,,,,61.977137815952304,,,,,,2.8291798662747145,,87.92384817816128,,,,,,,,10.666666666666666,,0.8660254037844387,,,,,-0.6993960000000001,69.93936,2.8718420542090755,,,0.9228187919463087,1.0,0.9228187919463087
,,,,,,,,,,2.8291798662747145,,87.92384817816128,,,,,,,,61.977137815952304,,,,,,,-0.6993960000000001,69.93936,2.8718420542090755,,,0.921612541993281,1.0,0.921612541993281
,,,,,,,,,,,,87.92384817816128,,,,,,,,10.666666666666666,,,,,,2.8291798662747145,-0.6993960000000001,69.93936,2.8718420542090755,,,0.9268018018018018,1.0,0.9268018018018018
,,,,56.68411698341372,4.691577747822209,,,,,3.4587595593775333,,,,,,,,,,35.200799699624376,,,0.5000000000000001,,0.1133392209154082,,-1.1323500000000002,87.92384817816128,,,,0.921875,1.0,0.921875
,,,,56.68411698341372,,,,,,,-0.3663480000000003,,,,,,,,,23.18333333333333,,,,,,3.4587595593775333,,87.92384817816128,,,,0.9229050279329609,1.0,0.9229050279329609
,,,,56.68411698341372,,,,,,,,100.24649999999998,,,,,,,,23.18333333333333,,,,,,3.4587595593775333,-0.3663480000000003,87.92384817816128,,,,0.9225589225589226,1.0,0.9225589225589226
,,,,,,,,,,1.379009296668846,,,,29.0,,,,,,56.68411698341372,5.551954277077292,,,,0.1454354540577442,,,111.90312,,27.0,,0.9217877094972067,1.0,0.9217877094972067
,,,,57.48714616497357,,,,,,,,,,,,,,,,56.68411698341372,,,,,,,,87.92384817816128,,29.0,,0.92152466367713,1.0,0.92152466367713
,,,,,,,,,,,,74.93508,,,,,,,,,,,,,,,,,,,,0.9469434832756632,1.0,0.9469434832756632
,,,,55.60260446667672,,,,,,,,98.91432,,,,,,,,,,,,,,3.6193601691271344,0.5994779999999996,74.93508,,,,0.921612541993281,1.0,0.921612541993281
,,,,55.60260446667672,4.24264825359846,,,,,,,,,,,,,,,36.86047607858975,,,,,,3.6193601691271344,,98.91432,,,,0.921875,1.0,0.921875
,,,,,8.588842807065687,,,,,,0.5661780000000002,,6.815363287611447,29.0,,,,,,55.60260446667672,,-0.2588190451025208,,,,,,74.93508,3.978188196091623,,,0.9214365881032548,1.0,0.9214365881032548
,,,,,,,,24.0,,1.7196608175567845,-0.9325259999999976,,,,,,,,,55.60260446667672,,,,,,,,74.93508,,29.0,,0.9217877094972067,1.0,0.9217877094972067
,,,,,,,,,,,-0.5328719999999999,72.91745999999998,,,15.5,,,,,,,,,,,,,,,,,0.9270482603815937,1.0,0.9270482603815937
,,,,,,,,,,,,69.93936,,,,,,,,,,,,,,,,,,,15.5,0.9301801801801802,1.0,0.9301801801801802
,,,,54.98514284690222,,,,73.66666666666667,0.31642244699534,3.6193601691271344,0.1665240000000002,98.91432,,,,,,,,21.54601575136185,,,,,,,,72.91745999999998,4.269046463117463,,,0.9224719101123595,1.0,0.9224719101123595
,,,,54.98514284690222,,,-1.8369701987210287e-16,73.66666666666667,,3.6193601691271344,-0.5328719999999985,98.91432,,,,,,,,21.54601575136185,,,,,0.31642244699534,,,72.91745999999998,4.269046463117463,,,0.9228187919463087,1.0,0.9228187919463087
,,,,54.98514284690222,,,,73.66666666666667,,3.6193601691271344,0.1665240000000002,98.91432,,,,,,,,21.54601575136185,,,-1.8369701987210287e-16,,0.31642244699534,,,72.91745999999998,4.269046463117463,,,0.9217877094972067,1.0,0.9217877094972067
,,,,54.98514284690222,,,,,,,,98.91432,,,,,,,,,,,,,,3.6193601691271344,,72.91745999999998,,,,0.9255079006772009,1.0,0.9255079006772009
,,,,54.98514284690222,,,,,,,-3.263838,,,,,,,,,27.58215208450953,,,,,,,,98.91432,,,,0.921875,1.0,0.921875
,,,,54.98514284690222,,,,,,,,,11.475628568445384,,,,,,,,,,,,,,-3.263838,98.91432,11.051492658795931,,,0.921612541993281,1.0,0.921612541993281
,,,,,,,,,,,0.8992200000000001,,,29.0,,1.0,,,,54.98514284690222,6.766762924984769,,,,,,,72.91745999999998,3.68981568151332,,,0.921612541993281,1.0,0.921612541993281
,,,,,,,,,,,,66.942,,,,,,,,,,,,,,,,,,,,0.9333333333333333,1.0,0.9333333333333333
,,,,,,,,,,,-0.3449760000000003,73.60296,,,,,,,,,,,,,,,,66.942,,,,0.9290540540540541,1.0,0.9290540540540541
,,,,53.0,,,6.123233995736766e-17,,0.3531014145246079,,-0.399654,93.91865600849044,5.162885981263999,,,,,,,,,,,,0.2743192664838866,,,73.60296,,41.5,,0.9247191011235955,1.0,0.9247191011235955
,,,,,,,,,,,-0.399654,93.91865600849044,5.162885981263999,,,,,,,,,,6.123233995736766e-17,,,,,73.60296,,,,0.9217877094972067,1.0,0.9217877094972067
,,,,,,,,,,,,88.92305999999996,,,,,,,,16.448703700304037,,,,,,,,73.60296,5.162885981263999,,,0.927437641723356,1.0,0.927437641723356
,,,,,,,,,,,,93.91865600849044,5.597620372857414,,,,,,,16.448703700304037,,,,,,,,88.92305999999996,5.162885981263999,,,0.921875,1.0,0.921875
,,,,54.61666666666667,19.15290049829968,,,,,3.4587595593775333,-0.8992260000000006,,,,,,,,,,,,,,,,-0.932526,93.91865600849044,,,,0.9217002237136466,1.0,0.9217002237136466
,,,,54.61666666666667,19.15290049829968,,,,,,-0.4995659999999997,,,,,,,,,,,,,,,3.4587595593775333,-2.8641840000000003,93.91865600849044,,,,0.9229050279329609,1.0,0.9229050279329609
,,,,,,,,,,,,,6.134077950634115,29.0,,,,,,54.61666666666667,5.814693949301369,,,,,,,93.91865600849044,3.9376205501891466,27.5,,0.921875,1.0,0.921875
,,,,,,-0.8660254037844386,,,,2.4610223339374944,,165.85631999999995,,,,,,,,54.61666666666667,,,,,,,,93.91865600849044,,29.0,,0.9225589225589226,1.0,0.9225589225589226
,,,,,,,,,,,,73.0782,,,,,,,,,,,,,,,,,,,8.5,0.9438717067583047,1.0,0.9438717067583047
,,,,,,,,,,,-0.2331359999999999,90.58824,,,,,,,,16.448703700304037,,,,,,,,73.0782,3.878789543926088,,,0.9265536723163842,1.0,0.9265536723163842
,,,,,,,,,,,,90.58824,,,,,,,,16.448703700304037,,,,,,1.7223187620549578,-0.2331359999999999,73.0782,3.878789543926088,,,0.9245495495495496,1.0,0.9245495495495496
,,,,41.70892754991849,,,,,0.4124561713913089,,-0.8992199999999997,,,,,,,,,40.0377505838871,,,,,,,,90.58824,,,,0.921875,1.0,0.921875
,,,,54.61666666666667,,,,,,,-0.8992199999999997,,,,,,,,,40.0377505838871,,,,,0.4124561713913089,,,90.58824,,,,0.921612541993281,1.0,0.921612541993281
,,,,54.61666666666667,,,,,,,,105.90822,,,,,,,,,,,,,,3.8855563657844847,-0.8992199999999997,90.58824,,,,0.9236812570145904,1.0,0.9236812570145904
,,,,,,,,,,,1.33218,,4.958160849894962,29.0,,,,,,54.61666666666667,6.875585668844567,,,,,,0.7326959999999999,90.58824,,,,0.921612541993281,1.0,0.921612541993281
,,,,,,,,,,,,,,29.0,,,,,,54.61666666666667,6.875585668844567,,,,,0.1042898575655331,,90.58824,4.958160849894962,,,0.921612541993281,1.0,0.921612541993281
,,,,,,,,,,,,71.93772,,,,,,,,,2.985496401336951,,,,,,,,,,,0.9429223744292238,1.0,0.9429223744292238
,,,,,,,,,,,-0.5661780000000007,89.92211745493765,,,,,,,,,,,,,,,,71.93772,2.8718420542090755,,,0.9306029579067122,1.0,0.9306029579067122
,,,,,,,,,,,,89.92211745493765,,,,,,,,,,,,,,3.0561071465674416,-0.5661780000000007,71.93772,2.8718420542090755,,,0.922384701912261,1.0,0.922384701912261
,,,,,,,,,,,-0.9325259999999996,,,,,,,,,56.61614900032679,,,,,,,-1.1323499999999995,89.92211745493765,,,,0.921875,1.0,0.921875
,,,,,,,,16.416666666666668,,3.0439811810412984,-0.3996539999999991,,,,,,,,,56.61614900032679,,,,,,0.8369575611874158,-0.9325259999999996,89.92211745493765,,29.0,,0.921875,1.0,0.921875
,,,,,,,,,,3.837490830645432,,,,,,,,,,56.61614900032679,,,,,,3.0439811810412984,-0.9325259999999996,89.92211745493765,,29.0,,0.9217877094972067,1.0,0.9217877094972067
,,,,,,,,,,,,69.93936,,,,,,,,,,,,,,,,,,,,0.9397042093287827,1.0,0.9397042093287827
,,,,,,,,,,,-0.3449760000000003,73.0782,,,,,,,,,,,,,,,,69.93936,,,,0.9280089988751407,1.0,0.9280089988751407
